"ComputerName","LogName","Product","Location","TypeInfo","Level"
"RO-WEB","CSharpGuitarBugs","IIS","W:\IIS-Sites\CSharpGuitarBugs\Publish\web.config","File","Site"
"RO-WEB","BuggyBits","IIS","W:\IIS-Sites\BuggyBits\web.config","File","Site"
"RO-WEB","IIS-Site-Repro","IIS","W:\IIS-Sites\IIS-Site-Repro\web.config","File","Site"
"RO-WEB","CSharpGuitarBugs","IIS","C:\inetpub\logs\LogFiles\W3SVC1","Folder","Site"
"RO-WEB","BuggyBits","IIS","C:\inetpub\logs\LogFiles\W3SVC2","Folder","Site"
"RO-WEB","IIS-Site-Repro","IIS","C:\inetpub\logs\LogFiles\W3SVC3","Folder","Site"
"RO-WEB","iisServerConfig","IIS","C:\Windows\system32\inetsrv\config\applicationHost.config","File","Server"
"RO-WEB","HTTPERRLog","IIS","C:\Windows\System32\LogFiles\HTTPERR","Folder","Server"
"RO-WEB","Application","OS","C:\Windows\System32\winevt\Logs\Application.evtx","evtx","Server"
"RO-WEB","System","OS","C:\Windows\System32\winevt\Logs\System.evtx","evtx","Server"
"RO-WEB","Security","OS","C:\Windows\System32\winevt\Logs\Security.evtx","evtx","Server"
